,Province,Pollutant,Year,Value,Per Capita,By Capita,Death,Death per Capita
248,PE,NOX,2004,7542.337785966773,137628.5,0.05480215061536508,19607,0.14246322527674138
249,PE,VOC,2004,8353.423294662678,137628.5,0.06069544676184568,19607,0.14246322527674138
250,AB,NH3,2005,140536.8231305167,3310397.5,0.04245315649571289,20485,0.006188078621978176
251,AB,CO,2005,1278700.4085667166,3310397.5,0.3862679356683651,20485,0.006188078621978176
252,AB,SOX,2005,460387.8603268887,3310397.5,0.13907328661494237,20485,0.006188078621978176
253,AB,NOX,2005,659924.4411432793,3310397.5,0.199349002995344,20485,0.006188078621978176
254,AB,VOC,2005,589724.6197307677,3310397.5,0.17814314435978387,20485,0.006188078621978176
255,BC,NH3,2005,25157.41696192914,4191427.25,0.006002112278563141,20485,0.004887356687390912
256,BC,CO,2005,1184191.9814880388,4191427.25,0.2825271466868568,20485,0.004887356687390912
257,BC,SOX,2005,65170.85023986548,4191427.25,0.015548605845387267,20485,0.004887356687390912
258,BC,NOX,2005,285108.1199406412,4191427.25,0.06802172695246976,20485,0.004887356687390912
259,BC,VOC,2005,255739.56282177803,4191427.25,0.061014911524893585,20485,0.004887356687390912
260,ON,NH3,2005,101612.7294314406,12508006.75,0.008123814726230508,20485,0.0016377509550032823
261,ON,CO,2005,2082552.8339548428,12508006.75,0.16649757835754628,20485,0.0016377509550032823
262,ON,SOX,2005,500353.8182058007,12508006.75,0.0400026821384471,20485,0.0016377509550032823
263,ON,NOX,2005,538745.0453593504,12508006.75,0.04307201428072066,20485,0.0016377509550032823
264,ON,VOC,2005,586758.6632459441,12508006.75,0.04691064491518156,20485,0.0016377509550032823
265,MB,NH3,2005,55415.49126414799,1177671.5,0.04705513486922965,20485,0.01739449413524909
266,MB,CO,2005,258579.08933985457,1177671.5,0.2195680963153601,20485,0.01739449413524909
267,MB,SOX,2005,397171.9901197856,1177671.5,0.33725193325964464,20485,0.01739449413524909
268,MB,NOX,2005,66465.3129038366,1177671.5,0.05643790556520779,20485,0.01739449413524909
269,MB,VOC,2005,81055.381811961,1177671.5,0.06882681784518092,20485,0.01739449413524909
270,NB,NH3,2005,5663.548261388308,748356.0,0.007567986708716584,20485,0.027373335685155195
271,NB,CO,2005,214054.6882908808,748356.0,0.2860332359076172,20485,0.027373335685155195
272,NB,SOX,2005,92979.17409172418,748356.0,0.12424457623340253,20485,0.027373335685155195
273,NB,NOX,2005,70289.64151028657,748356.0,0.09392540650477389,20485,0.027373335685155195
274,NB,VOC,2005,53964.4163123107,748356.0,0.07211062156555262,20485,0.027373335685155195
275,NS,NH3,2005,4552.2065321595055,938471.25,0.004850661682134115,20485,0.021828052803961762
276,NS,CO,2005,190488.65814619983,938471.25,0.20297761721118238,20485,0.021828052803961762
277,NS,SOX,2005,150102.99061073846,938471.25,0.1599441545073847,20485,0.021828052803961762
278,NS,NOX,2005,89864.57754414942,938471.25,0.09575634580617086,20485,0.021828052803961762
279,NS,VOC,2005,49287.40680184124,938471.25,0.052518824419865016,20485,0.021828052803961762
280,QC,NH3,2005,67601.25515038022,7576823.75,0.008922110026695582,20485,0.002703639503294504
281,QC,CO,2005,1564427.1870825875,7576823.75,0.2064753303892792,20485,0.002703639503294504
282,QC,SOX,2005,220495.71123696456,7576823.75,0.029101338306432765,20485,0.002703639503294504
283,QC,NOX,2005,292840.7235636912,7576823.75,0.038649536167934644,20485,0.002703639503294504
284,QC,VOC,2005,361411.7491879815,7576823.75,0.04769963788427591,20485,0.002703639503294504
285,SK,NH3,2005,84043.0184468456,994395.0,0.08451673474509185,20485,0.02060046560974261
286,SK,CO,2005,406666.2692950118,994395.0,0.40895848158429177,20485,0.02060046560974261
287,SK,SOX,2005,148983.95973485278,994395.0,0.14982372169495298,20485,0.02060046560974261
288,SK,NOX,2005,172857.77336050698,994395.0,0.1738321022938641,20485,0.02060046560974261
289,SK,VOC,2005,238440.17921530563,994395.0,0.23978416948527057,20485,0.02060046560974261
290,NL,NH3,2005,1139.1104282424444,515056.0,0.002211624421892851,20485,0.03977237426609922
291,NL,CO,2005,105607.46108678158,515056.0,0.20504073554483704,20485,0.03977237426609922
292,NL,SOX,2005,48883.17670609041,515056.0,0.0949084695762993,20485,0.03977237426609922
293,NL,NOX,2005,58686.07255748084,515056.0,0.11394114922936698,20485,0.03977237426609922
294,NL,VOC,2005,31892.35822147514,515056.0,0.06192017610022044,20485,0.03977237426609922
